الإصدار,التاريخ,الكوميت,الحالة,ملاحظات
الهيكل,2026-09-18,c07a659,مثبت,هيكل أولي
v1 البناء الكامل,2026-09-18,cc5e2dd,مثبت,13 صفحة + مسارات API + Supabase schema
v2 الهوية الدافئة,2026-09-18,cc5e2dd,مثبت,بحث awwwards موثق + توكنات ذهبي/زمردي + Amiri
v3 اللمعان التحريري,2026-09-18,a17fc37,مثبت,مدار المعرفة + كلمة-بكلمة + خفض خطوط 16→11
v4 الشعار والعرض,2026-09-18,b7622a1,مثبت,قوس المعرفة واللؤلؤة + عرض المنتجات + لغة حركة
v4 طبقة النشر,2026-09-18,450b2b1+34c53f8,مثبت,package-lock + standalone + محاكاة Render ناجحة
v5 مشهد اللؤلؤة,2026-09-18,"f80998e+dabd8f9+65e71cb",مثبت,three/R3F + بوابة تحسين تدريجي
V6-V9,نافذة زمنية,لا شيء,غير موجودة,نية محادثات فقط — صفر أثر في git/ملفات (قرار 19-09)
تجميد v5,2026-09-19,0985db8,مثبت,BASELINE_V5 + 8 لقطات مبصمة + قياسات بكسلية
نظافة المستودع,2026-09-19,"4ddb0ee+b011057+94aa857",مثبت,.gitignore مسترجع + رفع تتبع 1481 ملفاً + tag
V10 موجة 1,2026-09-19,3715ecc,مثبت,tsc مفعّل + WCAG 14/14 + SceneBoundary + ارتفاعات المشهد
V10 موجة 2,2026-09-20,0f0c477,مثبت,نظام تايبوغرافيا عربي + h1=1 في 13/13
V10 موجة 3,2026-09-20,9d17188,مثبت,صفر تجاوز أفقي + قائمة جوال وظيفية
V10 موجة 4,2026-09-20,869319e,مثبت,ميزانية أداء 8/8 بلا تراجع
V10 موجة 5,2026-09-20,6530ca4,مثبت,بوابة إطلاق + هوية بكسلية 4/4 + توثيق Notion-ready
