المشكلة,الأولوية,الحالة,الحل/الإجراء,الدليل
1. لا نشر إنتاجي فعلي (remote فارغ),عالية,محجوبة على المستخدم,render.yaml جاهز + خارطة 5 خطوات في بوابة الإطلاق,docs/V10_RELEASE_GATE.md §ثانياً
2. .gitignore مُدمَّر و.next متتبع,عالية,محلولة,استرجاع 42 سطراً + رفع تتبع 1144 ملف .next,كوميت 4ddb0ee
3. .env متتبع في git,متوسطة,محلولة,أُدرج في المستثنيات + رفع التتبع (قيمة محلية بلا أسرار حقيقية),كوميت 4ddb0ee
4. bun.lock يعود مع كل تهيئة,منخفضة,محايدة,في .gitignore + render.yaml يستخدم --legacy-peer-deps,.gitignore + render.yaml
5. public/v5-screenshots.zip 8.4MB,منخفضة,مؤجلة,يُحذف قبل أول نشر — الأصل مبصم في download/baseline-v5,بوابة الإطلاق بند 13
6. typescript.ignoreBuildErrors: true,عالية,محلولة,أزيل بعد إثبات tsc=0 — الفحص جزء من البناء الآن,كوميت 3715ecc
7. العمليات تُقتل بين الاستدعاءات,بيئية,محايدة بقاعدة,القياس في استدعاء واحد + الخادم بعد القتل بالمعرف,قاعدة 2-3 في الحوكمة
8. لقطات upload/ أثر محادثة,منخفضة,محايدة,خارج نطاق القرار (سياسة الأصل),worklog Task 12
9. حظر git add -A أثناء تتبع .next,عالية,محلولة,انتهى السبب — الشجرة نظيفة والتتبع انتقائي,كوميتات النظافة
10. زومبي standalone ينجو من fuser -k,عالية,محلولة بقاعدة,kill -9 بالمعرف من ss + تحقق بصمة HTML,قاعدة 2 في الحوكمة
11. research/ غير متتبع زال بإعادة التدوير,متوسطة,محلولة,مضمونه محفوظ في worklog + الأدلة صارت داخل git,درس 2026-09-20
12. تجاوز أفقي في الرئيسية (406px على جوال),عالية,محلولة,overflow-x-clip على مسرح العرض,كوميت 9d17188
13. 11 انتهاك تباعد حروف عربية,عالية,محلولة,إزالة شاملة + قواعد نظام موثقة + h1=1 في الكل,كوميت 0f0c477
